year,date,median,low,high
2019,2020-03-04,17,0,61
2019,2020-05-14,20,0,79
2020,2020-02-06,19,0,77
2019,2020-03-06,20,0,65
2020,2020-09-09,10,0,45
year,date,median,low,high
2020,2020-07-06,8,0,37
2020,2020-07-08,8,0,39
2019,2020-01-15,21,0,67
2020,2020-11-24,10,0,44
year,date,median,low,high
2019,2020-01-16,22,0,67
2020,2020-02-04,18,0,75
2019,2020-05-28,19,0,79
2020,2020-11-23,8,0,42
2020,2020-03-11,17,0,67
2019,2020-04-29,21,0,183
year,date,median,low,high
2019,2020-11-07,19,0,72
2020,2020-03-10,17,0,66
2020,2020-06-23,8,0,36
year,date,median,low,high
2019,2020-09-18,21,0,76
2020,2020-07-15,9,0,41
year,date,median,low,high
2019,2020-09-03,24,0,150
2020,2020-08-13,9,0,44
2019,2020-07-09,21,0,117
2020,2020-05-12,3,0,24
2020,2020-10-13,10,0,39
year,date,median,low,high
2019,2020-01-22,18,0,63
2019,2020-01-14,21,0,64
2020,2020-01-29,18,0,76
2020,2020-04-08,3,0,26
2019,2020-04-17,23,0,79
year,date,median,low,high
2019,2020-02-04,20,0,61
2019,2020-11-25,21,0,77
2019,2020-08-06,19,0,68
2020,2020-05-20,4,0,27
year,date,median,low,high
2020,2020-08-06,10,0,44
2019,2020-09-10,21,0,119
2020,2020-11-03,10,0,41
2019,2020-02-19,23,0,69
2019,2020-03-18,18,0,65
year,date,median,low,high
2020,2020-08-19,9,0,41
2020,2020-05-04,3,0,25
2019,2020-03-13,22,0,66
year,date,median,low,high
2020,2020-03-03,18,0,74
2020,2020-01-23,22,0,69
2019,2020-03-20,24,0,70
year,date,median,low,high
2019,2020-03-07,20,0,72
2019,2020-01-29,18,0,61
2019,2020-05-07,19,0,67
2019,2020-05-21,21,0,70
2019,2020-10-14,14,0,74
2019,2020-08-26,18,0,72
2019,2020-05-01,21,0,235
2019,2020-11-19,19,0,74
2019,2020-02-06,19,0,63
year,date,median,low,high
2019,2020-12-31,22,0,80
2019,2020-03-12,18,0,61
2019,2020-08-13,20,0,70
year,date,median,low,high
2020,2020-02-03,21,0,75
year,date,median,low,high
2020,2020-05-13,4,0,26
2020,2020-06-22,8,0,39
2019,2020-07-22,17,0,68
year,date,median,low,high
2019,2020-09-17,21,0,74
2019,2020-09-25,19,0,158
2020,2020-10-07,10,0,41
2020,2020-07-02,9,0,42
year,date,median,low,high
2019,2020-11-20,19,0,73
2020,2020-01-09,21,0,78
year,date,median,low,high
2020,2020-04-07,3,0,23
2020,2020-02-13,19,0,109
2020,2020-10-21,10,0,40
2020,2020-01-14,18,0,70
2020,2020-10-27,10,0,42
year,date,median,low,high
2019,2020-01-28,21,0,59
2020,2020-10-26,10,0,38
year,date,median,low,high
2019,2020-03-21,19,0,63
2019,2020-03-27,22,0,64
2019,2020-12-04,22,0,80
2020,2020-09-22,10,0,39
2019,2020-10-30,19,0,75
year,date,median,low,high
2020,2020-02-18,17,0,95
2020,2020-10-08,10,0,43
2019,2020-06-17,21,0,78
2020,2020-04-30,3,0,22
2019,2020-10-23,21,0,74
year,date,median,low,high
2019,2020-05-09,23,0,80
2020,2020-04-21,3,0,23
2019,2020-02-28,21,0,68
year,date,median,low,high
2019,2020-04-23,23,0,118
2019,2020-04-11,22,0,71
2019,2020-09-26,17,0,130
year,date,median,low,high
2019,2020-01-03,38,0,131
2020,2020-04-01,3,0,22
2020,2020-07-20,8,0,39
2020,2020-06-11,5,0,36
2019,2020-03-11,21,0,66
year,date,median,low,high
2019,2020-12-11,19,0,83
2020,2020-03-09,18,0,73
2020,2020-07-27,10,0,40
2020,2020-08-18,10,0,43
2020,2020-09-17,9,0,41
2020,2020-02-24,19,0,73
2020,2020-10-22,12,0,43
year,date,median,low,high
2019,2020-05-27,15,0,91
2019,2020-11-21,19,0,80
year,date,median,low,high
2019,2020-10-31,18,0,66
2020,2020-11-05,10,0,38
year,date,median,low,high
2019,2020-01-17,22,0,71
2019,2020-10-28,20,0,73
2019,2020-09-23,20,0,126
2020,2020-10-01,10,0,44
year,date,median,low,high
2020,2020-08-24,9,0,41
2019,2020-09-04,24,0,159
2019,2020-04-01,23,0,73
2020,2020-07-23,10,0,45
2020,2020-11-17,9,0,38
year,date,median,low,high
2019,2020-01-23,20,0,63
2020,2020-10-29,8,0,38
2019,2020-12-16,22,0,95
2020,2020-04-27,3,0,28
year,date,median,low,high
2020,2020-02-12,21,0,92
2019,2020-10-29,19,0,70
2019,2020-06-11,25,0,90
year,date,median,low,high
2020,2020-08-25,9,0,41
2020,2020-09-14,9,0,45
2019,2020-07-29,19,0,71
2020,2020-06-25,9,0,39
2020,2020-11-10,9,0,36
2019,2020-06-10,17,0,79
2020,2020-08-17,9,0,41
2020,2020-06-17,6,0,34
year,date,median,low,high
2020,2020-07-01,10,0,44
2019,2020-10-09,14,0,66
2020,2020-09-03,10,0,42
2020,2020-09-23,9,0,42
2019,2020-11-26,22,0,80
2020,2020-03-31,3,0,20
year,date,median,low,high
2020,2020-06-15,5,0,34
2020,2020-05-26,4,0,25
2019,2020-05-13,19,0,72
2019,2020-12-30,18,0,95
year,date,median,low,high
2019,2020-03-14,20,0,68
2020,2020-09-21,8,0,36
2019,2020-08-19,19,0,157
2019,2020-07-18,22,0,88
year,date,median,low,high
2020,2020-02-05,16,0,89
2019,2020-07-31,17,0,65
2019,2020-06-12,24,0,104
2020,2020-02-11,20,0,95
year,date,median,low,high
2019,2020-05-20,20,0,67
2019,2020-09-30,16,0,140
2019,2020-09-02,15,0,144
2020,2020-08-12,10,0,46
2019,2020-11-18,18,0,69
year,date,median,low,high
2019,2020-12-10,20,0,79
year,date,median,low,high
2020,2020-08-10,9,0,40
2020,2020-10-06,11,0,40
2019,2020-05-22,22,0,73
2020,2020-03-17,11,0,42
2020,2020-06-08,5,0,35
year,date,median,low,high
2019,2020-09-05,23,0,140
2020,2020-03-18,9,0,40
year,date,median,low,high
2020,2020-05-19,5,0,32
2019,2020-12-05,22,0,78
2019,2020-08-21,18,0,123
2020,2020-05-07,4,0,25
2020,2020-05-27,5,0,27
year,date,median,low,high
2020,2020-06-09,6,0,34
2019,2020-11-27,22,0,93
2020,2020-03-26,3,0,24
2020,2020-03-16,10,0,47
2020,2020-11-26,2,0,7
year,date,median,low,high
2019,2020-08-01,23,0,76
2019,2020-09-16,22,0,75
2020,2020-09-29,8,0,38
year,date,median,low,high
2020,2020-01-20,16,0,81
2020,2020-07-28,10,0,44
year,date,median,low,high
2020,2020-09-01,9,0,40
2019,2020-06-27,22,0,88
2020,2020-04-16,4,0,26
2019,2020-05-08,24,0,82
2019,2020-04-09,20,0,70
year,date,median,low,high
2019,2020-06-24,21,0,79
2019,2020-04-16,26,0,81
2020,2020-03-04,18,0,70
2019,2020-10-22,17,0,68
2019,2020-10-24,21,0,75
2020,2020-08-05,11,0,45
year,date,median,low,high
2019,2020-03-26,20,0,66
2020,2020-06-30,9,0,43
2020,2020-02-10,19,0,85
year,date,median,low,high
2020,2020-09-02,10,0,43
2019,2020-06-04,22,0,95
2019,2020-07-03,19,0,83
2020,2020-03-24,4,0,25
2020,2020-01-08,22,0,75
year,date,median,low,high
2020,2020-04-14,2,0,23
2019,2020-04-25,22,0,155
2019,2020-07-24,20,0,78
2020,2020-05-05,4,0,25
2020,2020-07-09,10,0,43
year,date,median,low,high
2020,2020-09-16,10,0,44
2020,2020-06-01,4,0,26
2019,2020-10-08,20,0,89
year,date,median,low,high
2020,2020-01-01,8,0,57
2020,2020-06-02,5,0,23
2019,2020-01-10,40,0,142
year,date,median,low,high
2019,2020-10-10,20,0,73
2020,2020-08-03,9,0,43
2019,2020-12-02,17,0,68
2018,2020-12-31,21,0,78
year,date,median,low,high
2019,2020-05-06,21,0,73
year,date,median,low,high
2019,2020-09-11,20,0,113
2019,2020-12-26,22,0,119
2019,2020-02-12,18,0,61
year,date,median,low,high
2019,2020-07-16,20,0,89
2020,2020-06-04,5,0,25
2020,2020-01-13,20,0,74
year,date,median,low,high
2020,2020-09-08,11,0,40
2019,2020-11-11,18,0,87
2020,2020-05-28,5,0,29
2020,2020-09-28,7,0,49
2020,2020-03-02,18,0,74
year,date,median,low,high
2020,2020-05-21,5,0,32
year,date,median,low,high
2019,2020-08-20,19,0,143
year,date,median,low,high
2020,2020-06-18,6,0,38
2020,2020-05-25,3,0,24
2019,2020-12-25,4,0,19
year,date,median,low,high
2019,2020-07-17,20,0,88
2019,2020-01-21,11,0,68
2020,2020-09-30,10,0,41
2019,2020-08-12,17,0,65
year,date,median,low,high
2019,2020-02-11,19,0,63
2020,2020-01-21,18,0,61
year,date,median,low,high
2020,2020-02-25,14,0,49
2020,2020-08-27,10,0,41
2019,2020-08-22,19,0,125
2019,2020-07-11,19,0,90
2020,2020-05-18,4,0,39
2019,2020-06-20,23,0,86
2020,2020-10-05,9,0,40
year,date,median,low,high
2019,2020-12-09,18,0,74
2019,2020-09-12,21,0,127
2020,2020-08-04,8,0,30
year,date,median,low,high
2020,2020-11-04,10,0,38
2019,2020-07-01,21,0,75
year,date,median,low,high
2019,2020-10-01,19,0,143
2020,2020-07-29,9,0,44
2019,2020-11-12,17,0,67
2019,2020-06-25,22,0,77
year,date,median,low,high
2019,2020-06-26,21,0,87
2019,2020-08-14,18,0,68
2020,2020-07-22,9,0,42
2020,2020-09-10,9,0,44
year,date,median,low,high
2019,2020-06-13,17,0,77
2019,2020-10-15,18,0,67
2019,2020-08-07,18,0,63
year,date,median,low,high
2019,2020-02-26,21,0,63
2020,2020-07-30,10,0,44
2019,2020-03-25,20,0,66
2020,2020-04-15,3,0,27
year,date,median,low,high
2020,2020-08-26,8,0,40
2020,2020-10-20,9,0,38
2020,2020-02-26,21,0,76
2019,2020-10-07,17,0,103
2020,2020-07-21,9,0,41
year,date,median,low,high
2019,2020-07-23,20,0,88
2019,2020-04-30,19,0,202
year,date,median,low,high
2019,2020-07-10,21,0,98
2019,2020-07-02,18,0,71
2019,2020-12-17,18,0,89
2020,2020-10-12,6,0,42
2019,2020-02-27,21,0,67
year,date,median,low,high
2019,2020-12-24,21,0,120
2020,2020-01-02,22,0,85
2019,2020-07-15,19,0,82
2019,2020-04-24,22,0,140
2020,2020-11-12,10,0,39
year,date,median,low,high
2020,2020-06-24,9,0,42
2020,2020-03-05,17,0,72
2020,2020-04-06,3,0,21
2019,2020-07-04,12,0,61
2020,2020-11-09,8,0,36
2019,2020-08-05,20,0,67
year,date,median,low,high
2019,2020-11-13,18,0,71
2020,2020-05-06,4,0,25
2020,2020-05-14,5,0,27
2019,2020-02-20,18,0,56
2020,2020-03-30,3,0,21
2019,2020-04-22,19,0,82
2019,2020-09-19,22,0,78
year,date,median,low,high
2019,2020-07-08,19,0,111
2019,2020-04-15,25,0,80
2020,2020-01-27,18,0,62
2019,2020-02-07,19,0,63
2020,2020-06-16,6,0,34
2019,2020-01-30,17,0,57
2019,2020-10-17,20,0,74
2020,2020-03-25,4,0,33
year,date,median,low,high
2020,2020-04-23,3,0,25
2020,2020-06-29,8,0,40
year,date,median,low,high
2020,2020-11-19,10,0,43
2019,2020-09-24,20,0,142
2020,2020-11-25,8,0,40
2019,2020-05-02,23,0,143
year,date,median,low,high
2019,2020-12-12,24,0,95
2019,2020-04-04,24,0,74
2019,2020-08-08,21,0,74
2020,2020-02-27,20,0,80
2019,2020-04-10,21,0,74
2019,2020-02-14,25,0,77
2020,2020-04-09,3,0,25
year,date,median,low,high
2020,2020-01-15,22,0,80
2019,2020-02-25,18,0,61
2019,2020-12-19,22,0,115
year,date,median,low,high
2020,2020-01-30,20,0,79
2020,2020-01-06,19,0,72
2020,2020-11-02,10,0,42
year,date,median,low,high
2020,2020-02-20,18,0,96
2019,2020-04-03,24,0,79
2019,2020-02-13,23,0,80
2019,2020-11-14,18,0,73
2019,2020-07-30,18,0,64
year,date,median,low,high
2020,2020-04-13,2,0,17
2020,2020-10-15,11,0,43
2019,2020-04-02,21,0,73
2020,2020-09-24,9,0,42
2019,2020-04-18,24,0,82
year,date,median,low,high
2020,2020-10-14,10,0,42
2020,2020-09-07,6,0,42
2019,2020-02-05,21,0,67
2020,2020-04-28,4,0,26
