year,date,median,low,high
2020,2020-08-05,3,0,8
2019,2020-12-26,5,0,22
2019,2020-01-29,6,0,46
2019,2020-07-29,6,0,20
2019,2020-11-27,7,0,24
2020,2020-05-14,1,0,4
year,date,median,low,high
2019,2020-01-02,10,0,37
2019,2020-10-07,6,0,19
2019,2020-10-31,6,0,19
2019,2020-09-30,5,0,437
2020,2020-01-01,4,0,18
2020,2020-11-25,2,0,6
year,date,median,low,high
2019,2020-07-17,6,0,22
2020,2020-02-13,6,0,20
2020,2020-11-10,2,0,7
year,date,median,low,high
2020,2020-04-28,1,0,4
2020,2020-10-14,3,0,8
2020,2020-11-05,2,0,30
2019,2020-09-26,6,0,21
2020,2020-01-27,5,0,19
2019,2020-05-14,7,0,23
year,date,median,low,high
2019,2020-04-10,7,0,23
2020,2020-11-24,2,0,6
2020,2020-01-28,5,0,18
2020,2020-10-13,2,0,6
2019,2020-08-14,6,0,22
2019,2020-03-27,7,0,23
year,date,median,low,high
2019,2020-04-23,6,0,26
2019,2020-05-20,6,0,20
2019,2020-07-10,6,0,22
2019,2020-12-11,6,0,22
2020,2020-09-23,3,0,8
2020,2020-09-15,2,0,7
year,date,median,low,high
2019,2020-10-02,6,0,263
year,date,median,low,high
2020,2020-08-24,2,0,6
2020,2020-06-22,2,0,6
2019,2020-11-04,5,0,19
year,date,median,low,high
2019,2020-07-01,7,0,23
year,date,median,low,high
2019,2020-07-22,5,0,19
2020,2020-05-19,1,0,4
year,date,median,low,high
2020,2020-07-20,2,0,6
2019,2020-05-21,6,0,21
2019,2020-01-17,6,0,28
2020,2020-09-02,2,0,7
year,date,median,low,high
2020,2020-11-17,2,0,6
2020,2020-07-23,2,0,6
year,date,median,low,high
2020,2020-11-26,1,0,4
2019,2020-09-09,7,0,23
2020,2020-01-14,5,0,25
2019,2020-05-23,7,0,21
2019,2020-07-11,6,0,21
2020,2020-04-15,1,0,3
year,date,median,low,high
2020,2020-05-11,1,0,4
2020,2020-05-13,1,0,4
2019,2020-07-04,4,0,18
2020,2020-08-18,2,0,6
2020,2020-07-13,2,0,6
2019,2020-01-22,5,0,18
year,date,median,low,high
2020,2020-06-09,2,0,6
2019,2020-12-24,5,0,18
2020,2020-07-16,2,0,7
2020,2020-04-23,1,0,4
year,date,median,low,high
2020,2020-09-17,2,0,7
2019,2020-08-01,6,0,22
2020,2020-10-26,2,0,6
year,date,median,low,high
2019,2020-01-31,6,0,24
2020,2020-01-30,6,0,21
2019,2020-10-10,6,0,20
2020,2020-09-30,2,0,7
2019,2020-10-28,5,0,18
2020,2020-01-06,5,0,19
2020,2020-02-19,5,0,19
year,date,median,low,high
2019,2020-08-15,6,0,24
2020,2020-06-02,1,0,4
2020,2020-04-06,1,0,4
2019,2020-07-30,6,0,24
2020,2020-07-15,2,0,6
year,date,median,low,high
2019,2020-11-07,6,0,21
2019,2020-02-12,6,0,22
year,date,median,low,high
2019,2020-05-06,6,0,23
year,date,median,low,high
2020,2020-05-20,1,0,4
2019,2020-05-01,7,0,25
2020,2020-03-04,5,0,17
year,date,median,low,high
2020,2020-09-21,2,0,6
2019,2020-08-29,7,0,22
2019,2020-04-09,6,0,21
2019,2020-02-19,6,0,21
2019,2020-12-31,6,0,23
year,date,median,low,high
2019,2020-03-07,7,0,28
2019,2020-04-30,6,0,22
2020,2020-10-15,3,0,8
2020,2020-09-16,2,0,7
year,date,median,low,high
2020,2020-09-09,2,0,7
2019,2020-01-28,5,0,47
2020,2020-11-19,2,0,6
year,date,median,low,high
2020,2020-02-27,6,0,27
year,date,median,low,high
2020,2020-10-28,2,0,7
2019,2020-10-29,6,0,20
2020,2020-07-01,2,0,6
year,date,median,low,high
2020,2020-04-13,1,0,3
2019,2020-11-11,5,0,17
2019,2020-08-08,6,0,21
2019,2020-02-20,6,0,21
year,date,median,low,high
2019,2020-12-03,5,0,19
2020,2020-04-14,1,0,3
2019,2020-03-20,7,0,23
2019,2020-03-12,6,0,20
2020,2020-06-16,2,0,6
year,date,median,low,high
2020,2020-08-25,2,0,6
2019,2020-04-04,7,0,24
