year,date,median,low,high
2019,2020-06-04,10,0,31
2019,2020-09-11,12,0,35
year,date,median,low,high
2019,2020-03-28,11,0,34
2020,2020-04-14,2,0,7
2019,2020-12-05,11,0,32
2019,2020-11-20,9,0,27
year,date,median,low,high
2020,2020-11-24,4,0,12
2019,2020-03-25,10,0,30
2020,2020-04-23,2,0,8
2019,2020-07-29,9,0,27
year,date,median,low,high
2020,2020-07-09,4,0,13
2020,2020-04-16,2,0,8
2020,2020-08-04,3,0,11
year,date,median,low,high
2019,2020-11-19,9,0,27
2019,2020-05-29,11,0,31
2019,2020-07-09,10,0,29
2019,2020-07-03,10,0,29
year,date,median,low,high
2020,2020-08-20,5,0,14
2020,2020-08-24,4,0,12
2020,2020-07-15,4,0,13
2019,2020-06-05,11,0,32
2019,2020-10-01,10,0,28
2020,2020-04-22,2,0,8
year,date,median,low,high
2020,2020-09-10,5,0,14
2019,2020-03-11,10,0,31
2019,2020-12-04,10,0,30
2019,2020-12-02,8,0,24
year,date,median,low,high
2020,2020-03-11,8,0,23
2019,2020-06-19,11,0,31
2020,2020-05-07,3,0,10
year,date,median,low,high
2019,2020-05-09,12,0,35
2020,2020-08-31,4,0,12
2019,2020-12-26,8,0,34
2020,2020-04-01,2,0,8
year,date,median,low,high
2020,2020-05-11,2,0,8
2019,2020-05-20,10,0,29
2020,2020-07-21,4,0,13
2019,2020-04-23,10,0,32
year,date,median,low,high
2019,2020-09-05,11,0,32
2019,2020-08-14,10,0,29
year,date,median,low,high
2019,2020-04-29,10,0,31
2019,2020-12-19,10,0,29
2020,2020-11-17,4,0,11
year,date,median,low,high
2020,2020-07-20,4,0,12
2020,2020-01-30,10,0,29
2020,2020-04-07,2,0,7
2019,2020-01-17,10,0,70
2020,2020-10-29,4,0,12
2019,2020-09-23,10,0,30
year,date,median,low,high
2020,2020-02-10,10,0,29
2019,2020-09-12,12,0,34
2019,2020-05-14,11,0,32
year,date,median,low,high
2020,2020-03-10,8,0,24
2020,2020-07-22,4,0,13
2019,2020-08-20,10,0,28
2019,2020-04-24,11,0,34
2019,2020-09-17,11,0,34
year,date,median,low,high
2019,2020-12-23,10,0,38
2019,2020-11-28,5,0,20
year,date,median,low,high
2019,2020-01-21,6,0,59
2019,2020-10-02,10,0,30
2019,2020-10-30,10,0,27
2020,2020-08-11,4,0,12
2020,2020-06-25,4,0,13
year,date,median,low,high
2019,2020-05-16,12,0,35
2019,2020-11-12,8,0,25
2020,2020-04-02,2,0,8
2019,2020-08-27,10,0,28
2020,2020-06-22,4,0,12
2020,2020-01-01,5,0,21
2020,2020-11-11,4,0,11
year,date,median,low,high
2020,2020-07-30,4,0,13
2020,2020-10-13,4,0,11
2019,2020-11-27,11,0,32
2020,2020-08-17,4,0,12
2020,2020-05-14,3,0,10
year,date,median,low,high
2019,2020-06-03,10,0,30
2019,2020-12-11,10,0,30
2019,2020-08-01,10,0,30
year,date,median,low,high
2019,2020-12-10,10,0,29
2019,2020-03-19,10,0,31
2020,2020-09-08,5,0,13
2020,2020-05-04,2,0,8
2020,2020-05-28,3,0,10
year,date,median,low,high
2019,2020-01-14,10,0,84
2020,2020-02-26,11,0,31
2019,2020-08-29,10,0,29
year,date,median,low,high
2020,2020-03-02,9,0,27
2019,2020-02-28,10,0,30
2019,2020-02-04,9,0,40
2020,2020-09-24,5,0,14
year,date,median,low,high
2019,2020-03-26,10,0,30
2019,2020-04-17,12,0,37
2020,2020-10-08,5,0,13
2019,2020-09-26,10,0,29
2020,2020-10-20,4,0,12
year,date,median,low,high
2019,2020-07-31,9,0,28
2020,2020-06-01,3,0,10
2019,2020-05-07,10,0,30
2020,2020-09-02,4,0,12
year,date,median,low,high
2019,2020-02-11,9,0,72
2020,2020-01-07,10,0,29
2019,2020-12-09,9,0,26
2019,2020-10-09,8,0,23
2019,2020-09-16,11,0,32
2019,2020-04-09,10,0,30
2020,2020-03-23,2,0,8
2020,2020-11-03,4,0,11
year,date,median,low,high
2020,2020-02-25,7,0,22
2019,2020-11-11,8,0,24
2020,2020-09-16,5,0,13
year,date,median,low,high
2020,2020-07-23,4,0,12
2019,2020-07-16,10,0,31
2019,2020-02-21,10,0,31
2020,2020-06-10,4,0,12
2020,2020-09-09,5,0,14
2020,2020-06-04,3,0,10
year,date,median,low,high
2020,2020-06-03,3,0,10
2020,2020-03-26,2,0,8
2020,2020-07-28,4,0,12
2019,2020-11-05,9,0,26
2019,2020-02-14,11,0,38
2019,2020-12-12,10,0,31
year,date,median,low,high
2019,2020-01-16,10,0,67
year,date,median,low,high
2019,2020-08-08,10,0,29
2020,2020-09-30,4,0,12
2020,2020-09-28,4,0,12
2020,2020-06-29,4,0,12
2020,2020-11-02,4,0,12
2020,2020-05-26,3,0,10
year,date,median,low,high
2019,2020-12-17,9,0,26
2019,2020-08-05,9,0,27
2020,2020-02-24,10,0,30
2020,2020-01-09,11,0,31
2020,2020-06-18,4,0,12
year,date,median,low,high
2019,2020-03-07,10,0,31
2019,2020-05-15,12,0,36
2019,2020-06-26,11,0,32
2020,2020-11-12,4,0,11
year,date,median,low,high
2019,2020-08-21,9,0,27
2019,2020-04-03,11,0,33
2019,2020-07-10,10,0,30
2019,2020-09-02,6,0,22
year,date,median,low,high
2019,2020-11-13,9,0,26
2019,2020-11-07,10,0,29
