year,date,median,low,high
2020,2020-05-12,2,0,8
2020,2020-08-03,4,0,13
year,date,median,low,high
2019,2020-06-05,8,0,37
2019,2020-05-14,8,0,37
year,date,median,low,high
2020,2020-11-12,3,0,11
2019,2020-08-08,8,0,33
2019,2020-11-11,6,0,30
year,date,median,low,high
2019,2020-08-05,7,0,32
2019,2020-08-19,7,0,30
2019,2020-05-08,9,0,41
year,date,median,low,high
2020,2020-07-16,3,0,11
2019,2020-01-23,7,0,32
2019,2020-04-22,7,0,40
year,date,median,low,high
2019,2020-01-16,8,0,35
2019,2020-03-04,7,0,29
2020,2020-03-17,4,0,14
2019,2020-07-22,7,0,32
year,date,median,low,high
2020,2020-11-16,3,0,11
2019,2020-05-27,5,0,24
2020,2020-06-23,3,0,11
2019,2020-02-12,7,0,32
year,date,median,low,high
2019,2020-08-01,8,0,36
2019,2020-10-29,7,0,33
2020,2020-07-15,4,0,12
2019,2020-01-08,14,0,61
2020,2020-06-22,3,0,11
2020,2020-08-06,4,0,13
2020,2020-06-30,3,0,11
year,date,median,low,high
2019,2020-01-01,8,0,42
2019,2020-03-05,8,0,37
2020,2020-09-22,3,0,11
2020,2020-10-07,4,0,13
2019,2020-10-10,7,0,34
2019,2020-10-24,8,0,36
year,date,median,low,high
2019,2020-08-21,7,0,31
2019,2020-01-10,14,0,64
2020,2020-04-14,1,0,6
2020,2020-11-17,3,0,11
2019,2020-01-02,14,0,64
2019,2020-04-11,8,0,39
2019,2020-12-11,7,0,39
year,date,median,low,high
2019,2020-05-23,8,0,35
2019,2020-04-02,8,0,39
2020,2020-08-25,3,0,11
year,date,median,low,high
2020,2020-11-23,3,0,12
2020,2020-07-21,3,0,11
2020,2020-05-21,2,0,8
2019,2020-10-09,6,0,27
2019,2020-03-14,8,0,39
year,date,median,low,high
2019,2020-09-11,9,0,40
2020,2020-02-05,8,0,34
2019,2020-08-14,7,0,31
2020,2020-10-21,3,0,12
2019,2020-09-17,9,0,40
2020,2020-03-16,4,0,15
2019,2020-02-14,9,0,39
year,date,median,low,high
2020,2020-01-07,8,0,38
2019,2020-11-20,7,0,35
2019,2020-03-12,7,0,37
2020,2020-06-08,3,0,10
year,date,median,low,high
2020,2020-06-15,3,0,10
year,date,median,low,high
2020,2020-05-19,2,0,8
2020,2020-10-14,4,0,13
2019,2020-01-22,7,0,30
year,date,median,low,high
2019,2020-04-30,8,0,39
2019,2020-01-31,7,0,62
year,date,median,low,high
2019,2020-09-24,8,0,37
2020,2020-09-03,4,0,13
2020,2020-06-04,2,0,9
2020,2020-06-16,3,0,10
2020,2020-11-05,3,0,89
year,date,median,low,high
2020,2020-10-01,4,0,13
