year,date,median,low,high
2019,2020-11-18,1,0,15
2020,2020-05-21,1,0,4
2020,2020-09-09,1,0,6
year,date,median,low,high
2019,2020-02-06,2,0,15
2020,2020-01-14,2,0,14
2020,2020-11-24,1,0,6
2019,2020-05-27,1,0,7
2020,2020-10-15,2,0,6
2020,2020-08-19,1,0,4
2020,2020-08-11,3,0,7
year,date,median,low,high
2019,2020-09-12,4,0,22
2019,2020-07-02,2,0,15
2020,2020-11-09,1,0,4
2020,2020-11-05,3,0,7
2020,2020-07-27,2,0,5
year,date,median,low,high
2019,2020-04-10,2,0,18
2020,2020-05-12,1,0,4
2019,2020-07-15,2,0,14
2019,2020-01-17,2,0,14
year,date,median,low,high
2020,2020-06-18,1,0,4
2019,2020-10-07,2,0,19
2019,2020-09-26,2,0,18
year,date,median,low,high
2020,2020-05-06,1,0,4
2020,2020-06-15,1,0,5
2020,2020-03-04,3,0,16
2019,2020-06-26,2,0,13
2019,2020-02-26,2,0,17
2019,2020-09-05,2,0,17
2019,2020-01-03,4,0,26
2019,2020-09-09,2,0,22
year,date,median,low,high
2020,2020-07-08,2,0,5
2020,2020-10-19,1,0,5
2019,2020-04-02,2,0,18
year,date,median,low,high
2019,2020-07-08,2,0,14
2020,2020-10-20,2,0,5
2019,2020-08-15,2,0,11
2020,2020-01-01,1,0,6
2020,2020-11-11,1,0,5
year,date,median,low,high
2019,2020-11-11,2,0,17
2019,2020-09-03,3,0,20
2019,2020-10-24,2,0,19
year,date,median,low,high
2020,2020-05-11,0,0,2
2020,2020-04-16,0,0,2
2019,2020-04-01,2,0,15
year,date,median,low,high
2019,2020-01-07,4,0,26
2019,2020-07-09,2,0,13
2020,2020-10-21,1,0,5
2020,2020-06-29,1,0,5
2019,2020-06-12,1,0,9
year,date,median,low,high
2019,2020-04-25,2,0,16
year,date,median,low,high
2019,2020-11-07,2,0,16
2019,2020-01-23,2,0,14
2020,2020-10-29,1,0,5
2019,2020-06-24,3,0,12
2019,2020-05-23,2,0,13
year,date,median,low,high
2020,2020-02-26,2,0,17
2019,2020-08-29,2,0,14
2020,2020-05-13,1,0,3
2019,2020-09-30,1,0,15
year,date,median,low,high
2020,2020-08-17,0,0,4
2019,2020-08-28,1,0,13
year,date,median,low,high
2019,2020-02-05,2,0,18
2019,2020-09-18,2,0,20
year,date,median,low,high
2019,2020-06-10,1,0,11
2020,2020-07-16,2,0,6
2020,2020-04-27,1,0,3
2019,2020-10-14,2,0,11
2020,2020-02-03,1,0,17
year,date,median,low,high
2020,2020-01-07,2,0,15
2020,2020-10-26,2,0,6
2020,2020-10-28,1,0,5
2020,2020-07-07,1,0,5
2020,2020-05-27,1,0,3
2020,2020-05-19,2,0,4
year,date,median,low,high
2020,2020-07-30,2,0,5
2019,2020-12-18,2,0,15
year,date,median,low,high
2019,2020-10-31,2,0,15
year,date,median,low,high
2019,2020-04-23,1,0,17
2020,2020-02-20,3,0,19
2020,2020-02-10,3,0,17
2020,2020-05-07,1,0,5
2019,2020-01-16,2,0,15
2019,2020-07-30,2,0,12
2020,2020-08-04,1,0,3
2019,2020-02-19,2,0,18
year,date,median,low,high
2019,2020-11-25,2,0,18
2020,2020-06-11,2,0,6
2019,2020-04-04,2,0,17
2019,2020-07-23,3,0,13
2019,2020-03-19,2,0,12
year,date,median,low,high
2020,2020-04-02,1,0,3
2019,2020-05-02,3,0,18
2020,2020-09-21,1,0,5
2019,2020-11-28,1,0,7
2019,2020-12-11,1,0,17
year,date,median,low,high
2020,2020-10-13,2,0,6
2020,2020-01-02,2,0,12
year,date,median,low,high
2020,2020-11-03,1,0,5
2019,2020-09-02,1,0,7
year,date,median,low,high
2019,2020-03-25,2,0,15
2019,2020-04-16,3,0,19
2020,2020-01-30,1,0,16
2020,2020-09-14,1,0,5
year,date,median,low,high
2020,2020-04-14,1,0,3
2019,2020-02-13,2,0,17
year,date,median,low,high
2020,2020-01-28,2,0,15
2019,2020-05-01,2,0,18
2020,2020-08-13,2,0,6
year,date,median,low,high
2019,2020-01-14,1,0,13
2019,2020-05-20,3,0,12
2020,2020-08-10,2,0,7
year,date,median,low,high
2019,2020-11-13,2,0,19
2020,2020-02-27,2,0,16
2019,2020-07-29,1,0,11
2020,2020-02-13,5,0,19
2020,2020-04-15,1,0,3
2019,2020-04-18,3,0,17
year,date,median,low,high
2020,2020-01-29,2,0,17
2020,2020-07-15,2,0,7
2020,2020-09-17,2,0,6
2020,2020-02-04,2,0,16
2019,2020-04-11,2,0,16
year,date,median,low,high
2020,2020-04-09,3,0,6
2020,2020-06-03,2,0,5
2020,2020-11-10,1,0,4
2019,2020-01-21,2,0,7
2020,2020-07-28,2,0,5
year,date,median,low,high
2020,2020-09-29,1,0,5
2019,2020-03-18,2,0,11
2019,2020-05-08,2,0,17
2019,2020-06-11,1,0,12
year,date,median,low,high
2020,2020-09-30,1,0,5
2019,2020-03-13,3,0,19
2019,2020-06-20,2,0,13
year,date,median,low,high
2019,2020-06-13,1,0,11
2019,2020-09-10,2,0,19
2019,2020-07-10,2,0,15
2019,2020-07-18,3,0,16
year,date,median,low,high
2020,2020-02-17,1,0,6
2020,2020-10-07,1,0,5
2019,2020-10-28,2,0,17
2020,2020-02-05,2,0,16
year,date,median,low,high
2020,2020-07-01,1,0,4
2019,2020-12-05,2,0,17
2020,2020-02-18,2,0,20
2020,2020-02-12,3,0,20
2019,2020-02-07,2,0,15
year,date,median,low,high
2019,2020-12-04,2,0,18
2020,2020-09-08,1,0,5
2020,2020-08-27,3,0,6
2019,2020-09-23,3,0,23
2019,2020-12-12,2,0,20
2020,2020-05-04,1,0,4
2020,2020-04-13,0,0,2
year,date,median,low,high
2019,2020-06-03,2,0,12
2019,2020-07-24,3,0,15
2020,2020-11-19,2,0,4
2020,2020-07-09,3,0,8
2020,2020-04-20,1,0,3
2020,2020-03-09,2,0,15
2019,2020-01-10,6,0,29
year,date,median,low,high
2019,2020-05-29,2,0,11
2019,2020-10-08,2,0,18
2019,2020-06-06,3,0,15
2020,2020-01-20,2,0,8
2019,2020-12-10,2,0,18
2020,2020-02-25,1,0,13
year,date,median,low,high
2020,2020-06-16,2,0,5
2019,2020-02-11,2,0,16
2019,2020-04-15,4,0,20
2019,2020-01-08,4,0,27
2019,2020-03-12,1,0,15
year,date,median,low,high
2020,2020-10-01,1,0,4
year,date,median,low,high
2019,2020-06-17,2,0,13
2020,2020-04-08,1,0,4
2019,2020-10-01,2,0,17
year,date,median,low,high
2019,2020-12-30,2,0,10
2020,2020-11-18,2,0,5
year,date,median,low,high
2019,2020-10-29,2,0,14
2019,2020-06-27,3,0,14
2020,2020-01-13,2,0,14
2019,2020-12-09,1,0,16
2019,2020-03-04,2,0,10
2019,2020-04-09,3,0,17
2019,2020-05-06,2,0,17
2020,2020-02-24,3,0,16
2019,2020-08-13,2,0,12
2019,2020-03-06,3,0,17
year,date,median,low,high
2019,2020-03-11,3,0,18
2019,2020-10-22,2,0,17
2019,2020-01-31,2,0,15
2019,2020-05-09,1,0,19
year,date,median,low,high
2020,2020-06-04,3,0,7
2020,2020-08-24,2,0,5
2019,2020-03-20,3,0,16
year,date,median,low,high
2020,2020-02-19,4,0,20
2020,2020-11-16,3,0,7
2019,2020-03-07,2,0,18
year,date,median,low,high
2020,2020-03-25,1,0,4
2020,2020-04-30,1,0,4
2020,2020-01-23,2,0,13
year,date,median,low,high
2019,2020-02-18,2,0,8
2020,2020-01-08,2,0,14
2020,2020-03-26,1,0,4
2019,2020-08-14,2,0,10
2019,2020-03-27,2,0,17
2020,2020-10-27,1,0,4
2020,2020-09-02,2,0,5
2019,2020-09-25,2,0,20
2020,2020-06-09,2,0,6
year,date,median,low,high
2019,2020-03-28,2,0,17
2020,2020-07-13,2,0,6
2019,2020-07-16,2,0,14
2019,2020-09-16,2,0,18
2020,2020-10-22,1,0,5
2020,2020-05-05,1,0,4
2019,2020-08-01,2,0,13
year,date,median,low,high
2020,2020-04-29,2,0,4
2020,2020-07-22,1,0,5
2019,2020-02-20,3,0,18
year,date,median,low,high
2020,2020-06-22,0,0,5
2019,2020-12-31,2,0,10
2019,2020-09-04,3,0,26
2020,2020-03-31,1,0,4
2019,2020-06-25,3,0,14
2020,2020-09-03,2,0,6
year,date,median,low,high
2019,2020-11-19,2,0,16
2020,2020-05-18,1,0,4
2019,2020-12-24,3,0,12
2019,2020-03-21,2,0,13
year,date,median,low,high
2020,2020-06-24,1,0,5
2020,2020-05-25,0,0,2
2020,2020-10-14,2,0,6
year,date,median,low,high
2020,2020-06-25,1,0,6
2019,2020-06-18,2,0,15
2019,2020-10-02,2,0,17
2020,2020-10-05,2,0,6
year,date,median,low,high
2019,2020-11-14,2,0,18
year,date,median,low,high
2020,2020-07-02,1,0,5
2020,2020-11-02,1,0,5
2020,2020-07-06,2,0,5
2020,2020-04-07,2,0,6
year,date,median,low,high
2019,2020-10-23,2,0,18
2019,2020-01-02,4,0,23
2019,2020-04-29,2,0,18
2020,2020-08-26,1,0,4
year,date,median,low,high
2019,2020-11-05,1,0,14
2019,2020-06-04,2,0,15
2020,2020-01-22,2,0,14
year,date,median,low,high
2020,2020-06-10,1,0,4
2020,2020-08-06,2,0,6
2019,2020-08-05,3,0,10
2020,2020-11-17,2,0,6
year,date,median,low,high
2020,2020-09-24,1,0,5
2020,2020-09-10,2,0,6
2019,2020-03-05,2,0,19
2020,2020-09-28,1,0,5
year,date,median,low,high
2020,2020-09-07,0,0,3
2020,2020-09-01,1,0,5
2020,2020-03-05,3,0,14
year,date,median,low,high
2019,2020-05-13,2,0,17
2020,2020-03-12,2,0,8
2020,2020-04-21,1,0,3
2020,2020-11-26,0,0,2
year,date,median,low,high
2019,2020-02-27,2,0,18
2019,2020-07-22,2,0,12
2019,2020-11-04,2,0,16
2019,2020-12-25,1,0,7
2019,2020-01-22,2,0,14
year,date,median,low,high
2019,2020-02-12,3,0,22
2019,2020-12-26,3,0,10
2019,2020-04-22,2,0,17
2019,2020-07-03,2,0,11
2020,2020-07-20,1,0,4
2020,2020-03-16,2,0,8
year,date,median,low,high
2019,2020-11-20,2,0,17
2020,2020-04-22,2,0,4
2019,2020-11-12,3,0,17
2019,2020-05-16,2,0,15
2020,2020-08-12,1,0,5
year,date,median,low,high
2019,2020-10-30,1,0,16
2019,2020-02-14,3,0,18
2020,2020-04-23,1,0,3
year,date,median,low,high
2019,2020-12-17,2,0,13
2019,2020-07-04,1,0,5
2019,2020-08-27,2,0,16
year,date,median,low,high
2019,2020-07-01,2,0,11
2020,2020-08-05,3,0,8
year,date,median,low,high
2019,2020-05-14,2,0,16
2020,2020-07-23,1,0,5
2019,2020-10-09,1,0,14
year,date,median,low,high
2020,2020-01-16,2,0,15
2020,2020-11-12,1,0,3
2019,2020-01-01,0,0,6
2020,2020-08-03,2,0,6
2019,2020-08-20,3,0,11
2019,2020-12-16,3,0,16
2019,2020-05-21,2,0,15
2019,2020-07-11,1,0,16
year,date,median,low,high
2019,2020-05-28,2,0,11
2019,2020-01-28,3,0,17
2020,2020-06-08,1,0,5
2019,2020-11-06,2,0,18
2020,2020-03-11,2,0,11
2019,2020-10-15,2,0,17
2020,2020-07-29,1,0,5
